iter	Passed	Remaining
399	39579	207793
400	39688	207746
401	39783	207626
402	39882	207530
403	39972	207379
404	40073	207292
405	40175	207209
406	40281	207149
407	40383	207063
408	40490	207005
409	40593	206927
410	40691	206822
411	40793	206739
412	40907	206717
413	41011	206644
414	41117	206577
415	41219	206491
416	41315	206379
417	41410	206262
418	41504	206137
419	41600	206022
420	41685	205852
421	41793	205800
422	41897	205725
423	42002	205652
424	42103	205563
425	42201	205457
426	42292	205323
427	42394	205237
428	42479	205071
429	42583	204996
430	42669	204834
431	42758	204688
432	42851	204561
433	42946	204439
434	43031	204275
435	43129	204172
436	43248	204166
437	43393	204285
438	43521	204320
439	43626	204250
440	43718	204119
441	43804	203957
442	43907	203878
443	44014	203816
444	44107	203689
445	44209	203603
446	44319	203551
447	44427	203494
448	44540	203459
449	44650	203408
450	44743	203282
451	44836	203151
452	44930	203028
453	45020	202891
454	45105	202724
455	45188	202555
456	45273	202393
457	45363	202255
458	45467	202175
459	45569	202092
460	45653	201923
461	45746	201801
462	45847	201707
463	45953	201640
464	46057	201565
465	46184	201584
466	46291	201523
467	46396	201449
468	46503	201382
469	46608	201310
470	46715	201245
471	46831	201218
472	46946	201186
473	47064	201167
474	47201	201227
475	47305	201149
476	47422	201124
477	47529	201057
478	47641	201009
479	47750	200950
480	47858	200884
481	47960	200795
482	48070	200741
483	48174	200662
484	48310	200711
485	48412	200622
486	48507	200505
487	48608	200409
488	48704	200297
489	48798	200172
490	48894	200058
491	48979	199900
492	49062	199734
493	49160	199628
494	49247	199478
495	49337	199340
496	49439	199249
497	49546	199181
498	49650	199100
499	49744	198979
500	49849	198900
501	49951	198811
502	50047	198698
503	50151	198614
504	50249	198508
505	50336	198363
506	50451	198322
507	50556	198245
508	50659	198159
509	50770	198102
510	50877	198035
511	50979	197944
512	51088	197882
513	51182	197761
514	51283	197667
515	51377	197543
516	51462	197389
517	51567	197309
518	51649	197143
519	51740	197012
520	51917	197206
521	52039	197193
522	52128	197049
523	52226	196946
524	52327	196852
525	52435	196783
526	52542	196708
527	52655	196660
528	52748	196535
529	52842	196414
530	52933	196284
531	53021	196139
532	53110	195999
533	53210	195904
534	53308	195795
535	53396	195654
536	53504	195585
537	53612	195516
538	53723	195459
539	53822	195356
540	53926	195272
541	54026	195171
542	54122	195059
543	54215	194935
544	54312	194826
545	54434	194809
546	54569	194832
547	54721	194920
548	54856	194945
549	54952	194830
550	55053	194735
551	55156	194645
552	55264	194574
553	55365	194479
554	55462	194369
555	55554	194240
556	55657	194151
557	55764	194074
558	55856	193947
559	55950	193828
560	56042	193702
561	56137	193585
562	56239	193492
563	56331	193363
564	56420	193227
565	56516	193115
566	56613	193004
567	56707	192885
568	56811	192798
569	56921	192735
570	57035	192682
571	57139	192595
572	57236	192488
573	57334	192379
574	57434	192279
575	57535	192185
576	57636	192089
577	57733	191977
578	57829	191866
579	57923	191748
580	58023	191647
581	58134	191583
582	58228	191464
583	58324	191352
584	58445	191322
585	58546	191224
586	58656	191157
587	58754	191052
588	58856	190958
589	59016	191053
590	59151	191065
591	59264	191008
592	59380	190959
593	59490	190890
594	59597	190811
595	59689	190684
596	59788	190580
597	59888	190482
598	59990	190387
599	60083	190264
600	60193	190194
601	60302	190123
602	60402	190023
603	60509	189944
604	60633	189918
605	60742	189845
606	60852	189774
607	60966	189718
608	61077	189650
609	61196	189608
610	61317	189571
611	61435	189527
612	61565	189517
613	61685	189477
614	61812	189458
615	61934	189421
616	62047	189361
617	62194	189399
618	62308	189340
619	62465	189410
620	62597	189406
621	62757	189484
622	62940	189628
623	63109	189733
624	63249	189748
625	63417	189846
626	63541	189813
627	63673	189804
628	63811	189810
629	63947	189813
630	64098	189857
631	64283	190001
632	64438	190059
633	64619	190189
634	64798	190314
635	64950	190356
636	65096	190384
637	65267	190481
638	65440	190587
639	65619	190708
640	65771	190747
641	65918	190772
642	66051	190759
643	66182	190738
644	66313	190714
645	66437	190674
646	66573	190665
647	66723	190698
648	66872	190726
649	67033	190786
650	67203	190873
651	67356	190912
652	67493	190904
653	67661	190983
654	67838	191087
655	67992	191126
656	68165	191215
657	68448	191613
658	68741	192037
659	69086	192605
660	69423	193147
661	70405	195477
662	70657	195772
663	70869	195959
664	71064	196095
665	71286	196306
