iter	RMSE
0	0.1070508392
1	0.1052033121
2	0.1033991067
3	0.1016346278
4	0.09991036849
5	0.09824417177
6	0.09661823971
7	0.09502954924
8	0.09346394201
9	0.09193155567
10	0.0904318266
11	0.08895293165
12	0.08751299161
13	0.08610636145
14	0.08472401794
15	0.08338635809
16	0.08210225907
17	0.0808288601
18	0.07958102592
19	0.07836062292
20	0.07716208277
21	0.07600980382
22	0.07486339317
23	0.073755844
24	0.07266726189
25	0.07160724033
26	0.07057937946
27	0.06957090049
28	0.06858466614
29	0.06760745635
30	0.06667422317
31	0.06574359153
32	0.06482928268
33	0.06394599596
34	0.06307203182
35	0.06223428377
36	0.06140856274
37	0.06063690735
38	0.0598540505
39	0.0590937603
40	0.05836073792
41	0.05763929296
42	0.05695008439
43	0.05627197474
44	0.05560854593
45	0.054970499
46	0.05433861084
47	0.05372760204
48	0.0531139215
49	0.05253085953
50	0.05195579059
51	0.05138885971
52	0.05085806368
53	0.0503373212
54	0.04982006602
55	0.04932727101
56	0.04885822917
57	0.04839631935
58	0.04795297936
59	0.0475112354
60	0.04708084518
61	0.04666479906
62	0.04625402033
63	0.04586246726
64	0.04548993096
65	0.04512944179
66	0.0447672991
67	0.04441178588
68	0.04406922697
69	0.04374038031
70	0.04342572969
71	0.04311776306
72	0.04281230186
73	0.04252279476
74	0.04223570337
75	0.04195404269
76	0.04166934536
77	0.04140307582
78	0.04113926442
79	0.04087474295
80	0.04063752157
81	0.04039873539
82	0.04017034692
83	0.03993006037
84	0.03969583629
85	0.03948492298
86	0.03927649297
87	0.03908192991
88	0.0388816209
89	0.03870275501
90	0.03851917112
91	0.0383300848
92	0.03814612229
93	0.03799205693
94	0.03781221798
95	0.03766009672
96	0.03750612572
97	0.03734041222
98	0.03719352642
99	0.03705572111
100	0.0369153913
101	0.03678847478
102	0.03664298219
103	0.0365157787
104	0.03637952971
105	0.03623900535
106	0.03611587925
107	0.03600591161
108	0.03590113255
109	0.03578920909
110	0.03567072778
111	0.03556052059
112	0.03544391871
113	0.03534036163
114	0.03524330908
115	0.03515399881
116	0.03506520167
117	0.03496638637
118	0.03487732333
119	0.03478456238
120	0.03468828956
121	0.0346063116
122	0.03451898653
123	0.03443382562
124	0.03435875702
125	0.03427788561
126	0.03421192603
127	0.03412991265
128	0.03405832969
129	0.03399695732
130	0.03393667882
131	0.03388025437
132	0.0338235459
133	0.03375639532
134	0.03369651587
135	0.03361712379
136	0.03356986105
137	0.03350822896
138	0.03343996227
139	0.03338815428
140	0.03334410102
141	0.03327076868
142	0.03321360311
143	0.03315517789
144	0.03310936509
145	0.03306789949
146	0.03301828032
147	0.03296989942
148	0.03293341204
149	0.03288826835
150	0.03283804729
151	0.03279401608
152	0.03274700907
153	0.0326943067
154	0.0326449314
155	0.03259913754
156	0.03255499297
157	0.03250699616
158	0.03244519401
159	0.03240215924
160	0.03235291043
161	0.03231432452
162	0.03225798433
163	0.03221125599
164	0.03217039068
165	0.0321306472
166	0.03209513715
167	0.03205939387
168	0.03201651873
169	0.03199423524
170	0.03195046196
171	0.03191303987
172	0.03186051488
173	0.03182414023
174	0.03179034629
175	0.03175194594
176	0.03170945771
177	0.03167013415
178	0.03163259425
179	0.03160068602
180	0.03156659732
181	0.03153759835
182	0.03149690625
183	0.03146915074
184	0.03143299655
185	0.03140943005
186	0.0313810768
187	0.03133756871
188	0.03129468699
189	0.0312557136
190	0.03121170662
191	0.03116830146
192	0.03113240454
193	0.03109018119
194	0.03105086616
195	0.03101859839
196	0.03098400679
197	0.03095165997
198	0.03092703144
199	0.03089793296
200	0.03086811342
201	0.03083770249
202	0.03080332269
203	0.03077584455
204	0.03074364737
205	0.03071492714
206	0.03068389351
207	0.03065584667
208	0.03063184837
209	0.03061161779
210	0.03059231033
211	0.03056776122
212	0.03053906922
213	0.03051218109
214	0.03048990595
215	0.03046595692
216	0.03043601156
217	0.03041003928
218	0.03039042907
219	0.03037500909
220	0.03035032278
221	0.03032978015
222	0.03031313667
223	0.03028804054
224	0.03026901454
